Star,Age,Birthplace,Height,Weight,Gender,Ethnicity,Cost
Adriela Vendromine,None,None,None,None,None,None,292203.8
Afina Kisser,41,Russia,175,57,None,None,778795.4
Aften Opal,None,None,152,54,Female,White,22.2
Agatha Vega,None,None,168,None,Female,Latin,105.8
Aida Sweet,29,Romania,165,48,None,None,2508749.2
Aiden Ashley,None,None,165,48,Female,White,19.2
aiden aspen,34,United States of America,160,46,None,None,1760793.2
Aiden Jason,None,None,None,None,None,None,13576.2
Aiden Starr,None,None,150,41,Female,White,76.2
Aiden Valentine,None,None,185,64,Male,White,6.6
Aidra Fox,None,None,170,57,Female,White,91.6
Aimee Addison,44,United States of America,173,50,None,None,271081.0
Aimee Black,30,United States of America,157,48,None,None,990116.0
Aimee Tyler,46,United States of America,157,45,None,None,2123964.4
AJ Applegate,None,None,157,54,Female,White,48.2
AJ Estrada,26,United States of America,170,55,None,None,184649.4
Akari Asagiri,37,Japan,165,53,None,None,2389603.6
AKGINGERSNAPS,None,None,170,57,Female,White,41.0
Akira Shell,None,None,None,None,Female,White,6.8
Alaina Dawson,27,United States of America,160,48,None,None,10752105.4
Alaina Fox,30,United States of America,170,55,None,None,1931191.8
Alaina Kristar,27,United States of America,160,50,None,None,2062434.6
Alan Marcelo,None,Brazil,None,None,None,None,761510.2
alan stafford,47,United States of America,175,73,None,None,7892867.8
Alana Cruise,42,United States of America,157,50,None,None,19633616.8
alana evans,None,None,168,61,Female,White,41.6
Alana Leigh,34,United States of America,165,58,None,None,186567.0
Alana Luv,None,None,163,47,Female,White,3.0
Alana Rains,28,United States of America,175,59,None,None,1324374.4
Alana Summers,None,United States of America,152,43,None,None,3563286.0
Alanah Rae,35,United States of America,170,58,None,None,10224697.2
Alaska Moon,None,None,152,50,Female,White,57.0
Alaura Eden,46,United States of America,168,55,None,None,4791818.6
Alberto Blanco,None,None,185,80,Male,White,93.6
Alberto Rey,57,Belgium,180,None,None,None,869212.4
Alby Rydes,None,None,170,60,Female,White,13.6
Aleah Jasmine,None,None,170,55,Female,White,1.8
alec knight,51,United States of America,183,80,None,None,9189393.0
Alecia Fox,25,Russia,170,53,None,None,14050678.2
Aleksa Nicole,36,United States of America,155,48,None,None,6548872.4
Alektra Blue,40,United States of America,168,50,None,None,11972411.8
Alena Croft,None,None,170,55,Female,White,147.6
Alesia Pleasure,None,United States of America,165,59,None,None,558344.4
Aleska Diamond,35,Hungary,163,52,None,None,5014945.2
Alessa Savage,None,None,175,62,Female,White,25.4
Alessandra Jane,29,Russia,152,49,None,None,8283205.8
Alessandra Marques,43,Brazil,173,55,None,None,866606.2
Alessandra Ribeiro,None,None,None,None,None,None,345794.6
Alessio Romero,52,Mexico,175,82,None,None,1986698.8
Aletta Ocean,36,Hungary,173,57,None,None,22578445.4
Alex Adams,None,None,178,83,Male,White,5.4
alex andrews,None,United States of America,175,70,None,None,158088.0
Alex Black,36,Czech Republic,163,None,None,None,6454512.4
Alex Blake,None,None,170,59,Female,White,59.2
Alex Chance,None,None,173,70,Female,White,101.8
Alex Coal,None,None,160,49,Female,White,44.6
Alex D,None,None,173,66,Male,White,145.2
Alex De La FLor,None,None,157,45,Female,Asian,44.6
alex devine,40,United States of America,155,54,None,None,682029.6
Alex Forte,48,Hungary,None,None,None,None,4624669.8
alex foxe,48,United States of America,170,52,None,None,151777.4
Alex Gonz,44,United States of America,183,80,None,None,9513389.0
Alex Grey,None,None,157,45,Female,White,45.0
Alex Harper,30,United States of America,170,50,None,None,9362555.4
Alex Jackson,None,None,None,None,Male,White,8.4
Alex Jones,32,United States of America,196,90,None,None,24200029.6
Alex Junior,44,Brazil,None,None,None,None,565089.0
Alex Legend,None,None,188,None,Male,White,56.0
Alex Little,28,United States of America,150,48,None,None,2618251.0
Alex Mack,None,None,180,77,Male,White,39.0
Alex Mae,None,None,160,48,Female,White,19.0
Alex Mecum,None,None,183,91,Male,White,55.4
Alex More,32,United States of America,157,47,None,None,11298397.8
Alex Sanders,57,United States of America,191,86,None,None,3640586.8
Alex Tanner,28,United States of America,157,60,None,None,15897670.4
Alex Victor,None,None,None,None,None,None,4103696.2
Alexa Aimes,34,United States of America,157,46,None,None,3062283.0
Alexa Grace,29,United States of America,178,55,None,None,57138189.4
alexa lynn,39,United States of America,160,45,None,None,361192.8
Alexa Nasha,None,Spain,160,51,None,None,490951.4
Alexa Nova,None,None,160,50,Female,White,113.0
Alexa Rae,43,United States of America,170,52,None,None,2778249.2
Alexa Rydell,32,United States of America,163,48,None,None,3455659.6
Alexa Scout,26,United States of America,175,75,None,None,3158049.0
Alexa Tomas,None,None,170,56,Female,Latin,28.2
Alexander Garrett,None,None,None,None,None,None,3758899.2
Alexander Greene,None,None,None,None,None,None,873114.0
Alexandra Quinn,50,Canada,170,57,None,None,238830.2
Alexandra Silk,60,United States of America,163,48,None,None,1906888.2
Alexandre Senna,None,Brazil,None,None,None,None,540890.2
Alexia Gold,None,United States of America,152,50,None,None,4063241.0
alexia rae,33,United States of America,168,None,None,None,1192803.4
Alexis Adams,None,None,165,55,Female,White,32.6
Alexis Amore,45,Peru,157,51,None,None,3141941.8
Alexis Andrews,None,None,170,66,Female,White,75.8
Alexis Blaze,None,None,155,50,Female,White,10.8
Alexis Breeze,37,United States of America,163,57,None,None,1290170.2
Alexis Brill,30,Hungary,173,57,None,None,10584322.0
Alexis Crystal,None,None,170,50,Female,White,88.0
Alexis Fawx,None,None,163,54,Female,White,164.8
Alexis Ford,35,United States of America,163,55,None,None,7186976.4
Alexis Golden,None,None,170,61,Female,White,23.2
Alexis Grace,35,United States of America,180,62,None,None,2718863.4
Alexis Love,36,United States of America,160,43,None,None,2929031.0
alexis malone,44,United States of America,168,49,None,None,5638630.2
Alexis May,40,Scotland,160,49,None,None,1751343.8
Alexis Monroe,None,None,163,55,Couple,White,135.0
Alexis Rain,None,None,152,53,Female,Latin,66.4
Alexis Rodriguez,34,United States of America,163,55,None,None,11639422.0
Alexis Silver,44,United Kingdom,160,59,None,None,2289964.8
Alexis Tae,None,None,168,52,Female,Black,40.4
Alexis Texas,None,None,173,59,Female,White,55.4
Alexis Zara,None,None,168,52,Female,White,111.8
Alexsis Faye,31,Ukraine,175,75,None,None,460655.0
Alexsis Sweet,None,None,None,None,None,None,133622.4
Alexxa Vice,None,None,168,None,Female,White,85.0
Alexxxis Allure,None,None,160,114,Female,White,10.4
Alhena Adams,None,None,178,77,Trans Woman,White,104.6
Ali Kat,39,United States of America,178,61,None,None,326869.2
Alia Janine,None,None,180,66,Female,White,35.8
Alia Starr,38,United States of America,165,57,None,None,5163855.8
aliana love,36,United States of America,165,59,None,None,2059458.2
Alice Blitz,None,None,173,None,Trans Woman,White,156.2
Alice Bong,28,Poland,160,49,None,None,7698621.0
Alice Coxxx,25,United States of America,None,None,None,None,1109378.0
Alice Frost,None,None,170,61,Female,White,1.2
Alice Green,27,United States of America,160,48,None,None,12614226.4
Alice Lighthouse,28,United States of America,163,55,None,None,1185161.4
Alice March,29,United States of America,155,43,None,None,31219064.2
Alice Merchesi,None,None,137,39,Female,White,102.8
Alice Nice,None,None,None,None,None,None,4563069.2
Alice Pink,24,United States of America,160,None,None,None,4766931.2
Alice Romain,32,Romania,160,54,None,None,2467452.8
Alicia Alighatti,39,United States of America,170,55,None,None,337442.0
Alicia Angel,39,United States of America,165,48,None,None,1836347.8
Alicia Rhodes,45,United Kingdom,165,52,None,None,3246743.0
Alicia Williams,22,United States of America,132,40,None,None,16790376.6
Alina Belle,None,None,155,57,Female,Latin,13.6
Alina Li,29,China,170,50,None,None,19586175.8
Alina Lopez,None,None,168,55,Female,Latin,88.2
Alina Wang,None,None,178,None,Trans Woman,Asian,2.4
Alina West,28,United States of America,157,48,None,None,28766327.0
Aline,42,United States of America,168,54,None,None,8391548.6
Alisha Adams,None,None,170,55,Female,White,10.8
Alison Faye,29,United States of America,165,47,None,None,1919011.4
Alison Rey,None,None,157,53,Female,White,71.8
Alison Star,38,Hungary,160,42,None,None,8910792.4
Alison Tyler,33,United States of America,180,75,None,None,39239783.2
Alissa Avni,None,None,160,None,Female,White,46.2
Alissa Noir,None,None,165,57,Female,White,55.8
Alix Lovell,None,None,165,64,Female,White,17.0
Alix Lynx,None,None,160,50,Female,White,62.6
Aliya Brynn,None,None,163,50,Female,White,53.4
Aliysa Moore,35,United States of America,150,50,None,None,1091943.0
Aliz,36,Hungary,168,53,None,None,3630870.8
Allen Silver,62,United States of America,183,82,None,None,633250.4
Allesandra Snow,None,None,168,55,Female,White,33.0
Allessandra Leite,None,None,None,None,None,None,166164.4
Alli Rae,28,United States of America,168,52,None,None,26816878.2
Allie Haze,36,United States of America,170,55,None,None,24072649.6
Allie James,30,United States of America,175,57,None,None,6245803.2
Allie Jordan,32,United States of America,155,50,None,None,2746723.8
Allie Nicole,None,None,157,50,Female,White,24.2
allie ray,37,United States of America,157,52,None,None,199339.6
Allison Moore,39,United States of America,165,52,None,None,1802703.4
Allison Pierce,37,United States of America,168,52,None,None,2252607.8
Allison Wyte,39,United States of America,163,48,None,None,380207.6
Allura Skye,None,None,160,52,Female,White,1.4
Ally Ann,33,United States of America,165,57,None,None,2318356.8
Ally Breelsen,None,None,168,54,Female,White,2.8
Ally Kay,32,United States of America,165,55,None,None,1941130.0
Ally Style,35,Czech Republic,157,48,None,None,2892070.6
Allysin Chaynes,44,Romania,152,43,None,None,2427204.6
Allysin Payne,None,None,163,77,Female,White,1.0
Allyssa Hall,35,United States of America,157,54,None,None,192613.6
Alora Jaymes,None,None,168,53,Female,White,4.8
Alura Jenson,None,None,173,75,Female,White,30.8
Alyce Anderson,None,None,160,51,Female,White,170.8
Alycia Starr,None,None,160,68,Female,Latin,32.2
Alysa Gap,None,None,165,48,Female,White,129.2
Alysha Rylee,32,United States of America,180,59,None,None,443009.2
Alyssa Allure,51,United States of America,163,52,None,None,808215.6
Alyssa Branch,31,United States of America,163,55,None,None,4251229.4
Alyssa Cole,25,United States of America,170,55,None,None,6807712.0
alyssa dior,36,United States of America,178,68,None,None,487849.8
Alyssa Divine,33,United Kingdom,160,48,None,None,8305385.0
Alyssa Hart,None,None,147,48,Female,White,55.4
Alyssa Lynn,43,United States of America,163,50,None,None,5115046.0
Alyssa Reece,37,Canada,163,50,None,None,19665853.6
alyssa west,48,United States of America,157,58,None,None,315894.2
Alyssia Kent,32,Romania,165,47,None,None,12212588.8
Amai Liu,33,United States of America,155,34,None,None,3545653.6
Amanda Black,32,Hungary,168,55,None,None,953609.0
amanda blow,48,United States of America,165,52,None,None,833165.4
Amanda Bryant,33,United States of America,170,49,None,None,1115402.8
Amanda Panda XXX,None,None,None,None,Female,None,13.8
Amanda Tate,33,United States of America,173,57,None,None,1502845.6
Amandha Fox,None,None,173,56,Female,White,8.2
Amara Romani,None,None,157,50,Female,White,34.2
Amara Waters,None,None,None,None,Female,None,79.2
Amaranta Hank,None,None,170,60,Female,Latin,7.0
Amari Anne,None,None,165,50,Female,Black,81.4
Amaris,30,Ukraine,175,None,None,None,3017634.0
Amarna Miller,None,None,163,50,Female,White,199.2
Amber Bach,51,United States of America,163,51,None,None,2341248.0
Amber Chase,None,None,163,56,Female,White,23.6
Amber Cox,38,United States of America,168,48,None,None,1623529.6
Amber Deen,38,United Kingdom,155,51,None,None,1935809.4
Amber Hahn,None,None,170,57,Female,White,151.2
Amber Haze,None,None,173,68,Female,White,23.0
Amber Ivy,30,United States of America,163,55,None,None,2434572.6
Amber Jayne,None,United Kingdom,168,None,None,None,10445030.8
Amber Lily,None,None,155,66,Female,White,152.2
Amber Michaels,55,Germany,163,47,None,None,671843.2
Amber Nevada,33,Spain,168,50,None,None,1611596.0
Amber Peach,40,United States of America,157,54,None,None,5138386.8
Amber Rain,40,United States of America,160,46,None,None,272352.0
Amber Rayne,39,United States of America,160,50,None,None,8902889.6
Amber Stars,34,United States of America,157,55,None,None,1898146.2
Amber Wild,None,None,None,None,None,None,2158713.0
AmberCutie,None,None,163,82,Female,White,25.2
Amel Annoga,34,France,157,49,None,None,360761.0
Amelia Storm,None,None,168,81,Female,White,35.2
Amia Miley,None,None,160,48,Female,White,188.2
Amica Bentley,None,None,152,48,Female,White,28.4
Amile Waters,38,Cuba,165,59,None,None,3126469.0
Amilia Onyx,None,None,170,64,Female,White,107.4
Amilian Kush,None,None,None,None,None,None,628090.8
Amirah Adara,None,None,160,46,Female,White,41.8
Amy Anderssen,38,Canada,163,54,None,None,15806735.6
Amy Brooke,35,United States of America,163,50,None,None,9764550.0
Amy Faye,32,United States of America,152,48,None,None,539482.2
Amy Goodhead,61,United Kingdom,175,None,None,None,3857006.4
Amy Lee,44,Canada,165,46,None,None,2091904.8
Amy Pink,35,Czech Republic,163,53,None,None,966718.6
Amy Reid,38,Germany,170,53,None,None,3033080.8
Amy Starz,34,United States of America,160,52,None,None,515753.0
Ana Bell Evans,29,Czech Republic,160,55,None,None,5485380.2
Ana Foxxx,None,None,170,59,Female,Black,53.2
Ana Rose,None,None,168,57,Female,White,111.4
Anabelle Pync,34,United States of America,163,57,None,None,6713823.2
Ananta Shakti,36,Russia,165,52,None,None,3960425.6
Anastasia Brokelyn,28,Spain,163,None,None,None,17061116.2
Anastasia Christ,41,Czech Republic,173,53,None,None,527387.4
Anastasia Devine,41,Czech Republic,170,None,None,None,3582572.4
Anastasia Knight,None,None,160,48,Female,White,57.8
Anastasia Lux,37,Portugal,170,55,None,None,6546436.4
Anastasia Pierce,None,None,178,59,Female,White,8.2
Anastasia Rose,None,None,163,50,Female,White,81.2
Anaya Leon,35,England,165,49,None,None,1161312.0
andi anderson,36,United States of America,160,50,None,None,4091668.0
Andi James,57,United States of America,170,68,None,None,6642620.0
Andi Rye,None,None,175,52,Female,White,14.2
Andre Garcia,None,None,None,None,None,None,422851.2
Andre Santos,None,None,None,None,None,None,886475.0
Andrea Kelly,47,United States of America,152,56,None,None,554075.6
andrea sky,None,None,157,54,Female,White,45.6
Andreia DeOlivera,None,None,None,None,None,None,473872.8
Andrew Andretti,55,United States of America,173,70,None,None,9103661.0
Andrey Magic,None,None,175,33,Male,White,2.6
Andy Adams,None,None,150,70,Female,White,6.6
Andy Kay,None,None,None,None,None,None,256974.6
Andy San Dimas,37,United States of America,163,53,None,None,3620551.2
Andy Stone,None,None,178,None,Male,White,168.6
Andy Taylor,33,United States of America,170,63,None,None,1864344.8
Anell,40,United States of America,157,59,None,None,950187.0
Anetta Keys,40,Czech Republic,165,47,None,None,347120.8
ange venus,None,Taiwan,170,48,None,None,372236.4
Angel Allwood,43,United States of America,163,59,None,None,2194630.4
Angel Cassidy,47,United States of America,173,55,None,None,150429.4
angel cummings,33,United States of America,160,48,None,None,1442555.6
Angel Dark,None,None,175,54,Female,White,10.0
Angel DeLuca,None,None,168,85,Female,White,25.4
Angel Emily,None,None,157,None,Female,White,83.6
Angel Eyes,43,United States of America,170,66,None,None,2002393.6
Angel Long,None,None,180,55,Female,White,91.6
angel marie,38,United States of America,165,45,None,None,476149.4
Angel Piaff,33,Czech Republic,163,48,None,None,14795906.0
Angel Rivas,32,Russia,165,49,None,None,4895930.4
Angel Rush,26,Russia,163,48,None,None,3913338.2
Angel Smalls,30,United States of America,160,44,None,None,56619011.4
Angel Vain,37,United States of America,157,52,None,None,2183888.4
Angel Wicky,None,None,165,65,Female,White,45.2
Angela Attison,49,United States of America,157,48,None,None,3380999.2
Angela Salvagno,47,United States of America,165,71,None,None,1776946.4
Angela Sommers,None,None,170,57,Female,White,111.8
Angela Stone,42,United States of America,157,50,None,None,3461105.6
Angela White,None,None,160,59,Female,White,2.4
Angela Winter,42,Hungary,163,52,None,None,98641.8
Angelic Anya,37,Russia,170,57,None,None,1413167.2
Angelica Black,32,Czech Republic,165,None,None,None,3439433.6
Angelica Castro,None,Spain,165,53,None,None,297763.8
Angelica Cruz,None,United States of America,170,58,None,None,6243561.6
Angelica Heart,40,Hungary,168,55,None,None,4855993.8
Angelica Raven,40,United States of America,160,64,None,None,3388435.4
Angelica Sin,49,United States of America,170,57,None,None,719147.8
Angelika Grays,None,None,185,75,Female,White,181.8
Angelina Ash,36,United States of America,160,55,None,None,250629.4
Angelina Brill,28,Hungary,163,52,None,None,1112839.8
Angelina Castro,None,None,173,71,Female,Latin,165.8
Angelina Chung,None,United States of America,165,59,None,None,1043053.0
Angelina Crow,43,Hungary,157,42,None,None,690371.6
Angelina Diamanti,None,None,173,50,Female,White,47.2
Angelina Valentine,37,United States of America,163,52,None,None,27327590.6
Angell Summers,36,France,163,53,None,None,5537845.4
Angella Christin,31,Czech Republic,165,52,None,None,846037.4
Angelo Godshack,None,None,None,None,Male,None,14.0
Angie Koks,31,Russia,163,52,None,None,619651.4
Angie Lynx,None,None,163,50,Female,White,2.6
Angie Moon,37,Russia,170,50,None,None,1295698.6
Angie Noir,None,None,173,56,Female,White,4.2
Angie Savage,42,United States of America,168,51,None,None,100192.6
Ani Blackfox,None,None,175,57,Female,White,47.4
Ania Kinski,43,Poland,180,55,None,None,6854808.6
Anie Darling,25,Czech Republic,170,47,None,None,8210550.6
Anikka Albrite,39,United States of America,168,57,None,None,28420134.2
Anina Silk,27,Hungary,155,None,None,None,4450134.8
Anissa Jolie,32,Hungary,178,77,None,None,2154358.8
Anissa Kate,36,France,163,51,None,None,85413589.8
Anita Bellini,29,Hungary,155,45,None,None,15844740.0
Anita Blonde,47,Hungary,173,52,None,None,1986165.4
anita blue,None,None,173,57,Female,White,0.8
Anita Dark,None,None,170,53,Female,White,58.2
anita pearl,36,Hungary,175,47,None,None,677704.4
Anita Peida,None,None,160,58,Female,Black,23.0
Ann Marie Rios,42,United States of America,163,54,None,None,1028327.6
Anna Bell Peaks,None,None,168,54,Female,White,36.8
anna belle,42,United States of America,157,48,None,None,524535.2
Anna De Ville,26,United States of America,157,45,None,None,14955956.0
Anna Joy,44,United Kingdom,155,57,None,None,1162672.0
Anna Lovato,38,England,163,49,None,None,1317046.8
Anna Malle,56,United States of America,170,52,None,None,446601.4
Anna Morna,33,United States of America,175,66,None,None,7180679.8
Anna Nova,48,Germany,168,58,None,None,6149330.6
Anna Polina,34,Russia,173,61,None,None,16959302.8
Anna Rey,None,None,152,48,Female,White,20.2
Anna Rose,28,Czech Republic,173,48,None,None,20537941.8
AnnaBelle Lee,41,United States of America,157,48,None,None,3903913.2
Annette Schwarz,39,Germany,180,65,None,None,5131629.8
Anni Angel,None,None,173,60,Female,White,11.6
Annie Body,None,None,157,45,Female,White,6.8
Annie Cruz,None,None,168,49,Female,Asian,65.8
Annie Sex Teen,None,None,157,50,Female,Latin,57.8
Anny Aurora,None,None,173,54,Female,White,167.6
anthony hardwood,56,Hungary,173,86,None,None,6073369.6
Anthony Rosano,46,United States of America,175,73,None,None,7611616.2
Antonia Sainz,None,None,170,56,Female,White,150.6
Antonio Biaggi,45,Puerto Rico,178,68,None,None,1245431.2
antonio black,41,United Kingdom,180,80,None,None,8207779.0
Antonio Mallorca,None,None,185,81,Male,White,74.0
Antonio Ross,43,Hungary,None,None,None,None,9737674.4
Anya Akulova,33,Russia,163,None,None,None,582336.4
Anya Ivy,31,United States of America,157,50,None,None,32695361.2
Anya Krey,25,None,173,53,None,None,9622141.8
Anya Olsen,None,None,163,48,Female,White,56.2
Apolonia Lapiedra,None,None,160,46,Couple,White,41.0
April Brookes,30,United States of America,168,56,None,None,3550130.6
April Flores,None,None,157,98,Female,Latin,10.4
April Flowers,45,United States of America,175,61,None,None,1080270.4
April O'Neil,36,United States of America,155,40,None,None,36603986.8
April Paisley,None,United Kingdom,None,None,None,None,1096763.6
April Snow,None,None,165,51,Female,White,53.8
Arabelle Raphael,None,None,160,53,Female,Middle Eastern,179.6
Arad Winwin,34,Iran,178,90,None,None,4163310.0
arcadia davida,41,Philippines,152,44,None,None,273819.4
Aria,47,United States of America,163,55,None,None,3457449.6
Aria Alexander,28,United States of America,165,51,None,None,35927936.6
Aria Aspen,None,None,None,None,None,None,240789.2
Aria Banks,None,None,150,45,Female,White,165.4
Aria Giovanni,46,United States of America,168,56,None,None,922872.4
Aria Haze,None,None,163,45,Female,White,3.2
Aria Kai,None,None,168,64,Female,White,32.6
Aria Khaide,None,None,178,57,Female,White,22.4
Aria Lee,None,None,157,55,Female,Asian,21.2
Aria Logan,28,Russia,170,52,None,None,3295893.0
Aria Sky,23,United States of America,160,55,None,None,6058824.8
Arian Joy,None,None,163,52,Female,White,20.4
ariana,None,United States of America,163,None,None,None,201212.8
Ariana Aimes,None,None,157,52,Couple,Black,41.0
Ariana Grand,29,United States of America,163,54,None,None,6079375.8
Ariana Jollee,41,United States of America,157,47,None,None,1532205.8
Ariana Marie,None,None,165,48,Female,White,65.2
Ariana Simon,None,None,None,None,Female,Other,29.2
Arianna Knight,None,United States of America,170,59,None,None,12637213.8
Ariel Grace,26,United States of America,168,48,None,None,2195101.8
Ariel Rebel,38,Canada,157,None,None,None,773661.6
Ariel Rose,35,United States of America,163,45,None,None,3048823.2
Ariel X,None,None,160,59,Female,White,62.4
Ariella Ferrera,None,None,165,52,Female,Latin,70.6
Arielle Aquinas,None,None,None,None,Female,White,13.6
Arielle Faye,31,United States of America,152,43,None,None,4680407.8
Arietta Adams,None,None,170,55,Female,White,128.6
Aris Dark,None,None,160,40,Female,White,2.8
Armond Rizzo,None,None,150,55,Male,Latin,64.2
arnold schwartzenpecker,60,United States of America,173,77,None,None,1576012.2
Arquez,None,None,185,77,Male,Black,6.6
Arteya Dee,None,None,168,52,Female,White,21.8
Aruna Aghora,32,Russia,170,56,None,None,6430574.4
Arwen Datnoid,None,None,160,61,Female,White,99.8
Arwen Gold,31,Russia,170,50,None,None,8414159.4
Arya Fae,28,United States of America,160,50,None,None,46255676.8
Aryana Adin,None,None,160,66,Female,Black,94.6
Aryana Starr,43,Jamaica,173,75,None,None,2752456.6
Asa Akira,None,None,157,48,Female,Asian,81.8
Asante Stone,None,United States of America,None,None,None,None,8104040.0
Ash Hollywood,34,United States of America,157,50,None,None,8564100.2
Ashlee Graham,None,None,160,49,Female,White,23.8
Ashley Adams,None,None,168,56,Female,White,52.2
Ashley Alban,None,None,168,57,Female,White,50.0
Ashley Aleigh,35,United States of America,173,64,None,None,4918995.4
Ashley Blue,42,United States of America,157,49,None,None,3947222.8
Ashley Chambers,49,United States of America,157,51,None,None,3182116.2
Ashley Cumstar,34,Germany,170,65,None,None,3046508.8
Ashley Fires,None,None,155,52,Female,White,22.2
ashley haze,41,None,165,52,None,None,389581.4
Ashley Jane,36,United States of America,155,43,None,None,847621.6
Ashley Lane,None,None,170,57,Female,White,20.0
Ashley Long,44,United Kingdom,180,57,None,None,780790.0
Ashley Marie,38,United States of America,165,57,None,None,1154237.6
Ashley Moore,41,United States of America,180,61,None,None,170961.8
Ashley Ocean,30,Czech Republic,168,None,None,None,1107864.2
Ashley Pink,29,United States of America,157,48,None,None,686648.2
Ashley Rosi,None,None,157,48,Couple,White,54.0
Ashley Ryder,35,United Kingdom,173,58,None,None,2201711.6
Ashley Sinclair,None,None,160,52,Female,White,87.4
Ashley Stone,33,United States of America,160,54,None,None,3803465.6
Ashley Woods,30,Czech Republic,157,43,None,None,1060808.2
Ashli Ames,38,United States of America,168,57,None,None,1671210.8
Ashli Orion,None,None,163,59,Female,White,66.8
Ashly Anderson,None,None,163,52,Female,White,20.6
ashlyn gere,64,United States of America,160,50,None,None,282137.0
Ashlyn Rae,33,United States of America,160,52,None,None,4092271.2
Ashlynn Leigh,31,United States of America,165,57,None,None,2487484.0
Ashlynn Shea,None,None,163,52,Female,White,146.4
Ashlynn Taylor,None,None,157,52,Female,White,50.2
Ashton Pierce,32,United States of America,163,52,None,None,1616981.2
Asia,37,United States of America,152,47,None,None,1814316.6
Asia Carrera,50,United States of America,175,50,None,None,649875.2
Asia Zo,36,China,152,43,None,None,1714157.6
Aspen Brooks,26,Switzerland,183,72,None,None,3144452.4
Aspen Ora,28,United States of America,175,58,None,None,4235289.8
Aspen Rae,33,United States of America,160,48,None,None,3478728.0
Assh Lee,29,Spain,173,55,None,None,8734072.2
Asteria,None,None,168,54,Couple,White,21.8
Astrid Star,None,None,165,50,Female,White,1.8
Athena Faris,None,None,163,50,Female,White,77.2
Athena May,None,None,168,49,Female,White,34.4
Athena Palomino,26,United States of America,173,57,None,None,30368593.4
Athena Rayne,26,United States of America,157,44,None,None,20395207.8
Athina Love,30,Hungary,None,None,None,None,2157032.4
Atlanta Moreno,None,None,None,None,Female,White,39.2
Atlas Grant,36,United States of America,175,95,None,None,1484183.2
Aubree Valentine,None,None,None,None,Female,None,21.8
Aubrey Addams,36,United States of America,147,45,None,None,7435578.2
Aubrey Black,None,None,170,62,Female,Other,35.0
Aubrey Kate,None,None,178,63,Trans Woman,White,25.2
Audrey Bitoni,37,United States of America,163,48,None,None,32730624.6
Audrey Hemmingway,None,United States of America,163,52,None,None,9617012.0
Audrey Holiday,30,United States of America,163,54,None,None,1482994.4
Audrey Hollander,None,None,168,52,Female,White,55.8
Audrey Miles,None,None,168,59,Female,White,32.4
